100	0.4	0.204081633	0.29	0.147959184
140	0.52	0.265306122	0.42	0.214285714
200	0.6	0.306122449	0.59	0.301020408
280	0.85	0.433673469	0.82	0.418367347
400	1.2	0.612244898	1.15	0.586734694
560	1.67	0.852040816	1.52	0.775510204
800	2.3	1.173469388	2.02	1.030612245
1000	3	1.530612245	2.36	1.204081633
1400	4.2	2.142857143	2.82	1.43877551
2000	6.1	3.112244898	3.22	1.642857143
2800	8.5	4.336734694	3.44	1.755102041
4000	12.5	6.37755102	3.6	1.836734694
5600	17.8	9.08163265	3.68	1.87755102
8000	27	13.7755102	3.76	1.918367347
10000	26	13.2653061	3.76	1.918367347
7000	26	13.26530612	3.76	1.918367347
7500	27	13.7755102	3.76	1.918367347
8000	27	13.7755102	3.76	1.918367347
8500	26.8	13.6734693	3.76	1.918367347
9000	26.8	13.67346939		3.76	1.918367347
9500	26.6	13.57142857		3.76	1.918367347
